uid,count,oneMeans,bestMeans,diff,logCount
130784,139,0.777777777777778,0.888888888888889,0.111111111111111,4.9416424226093
130785,74,0.666666666666667,0.666666666666667,0,4.31748811353631
130786,32,1,1,0,3.49650756146648
130788,41,0.666666666666667,0.666666666666667,0,3.73766961828337
130790,46,0.75,1,0.25,3.85014760171006
130792,69,0.888888888888889,0.888888888888889,0,4.24849524204936
130795,77,0.75,0.75,0,4.35670882668959
130797,176,0.636363636363636,0.636363636363636,0,5.17614973257383
130801,20,1,1,0,3.04452243772342
130803,51,0.7,0.7,0,3.95124371858143
130805,93,1,1,0,4.54329478227
130807,29,0.5,0.5,0,3.40119738166216
130808,23,0.5,1,0.5,3.17805383034795
130809,65,0.888888888888889,0.888888888888889,0,4.18965474202643
130810,55,0.5,0.5,0,4.02535169073515
130811,57,0.888888888888889,0.888888888888889,0,4.06044301054642
130812,121,0.857142857142857,0.857142857142857,0,4.80402104473326
130813,67,0.769230769230769,0.769230769230769,0,4.21950770517611
130817,45,1,1,0,3.8286413964891
130821,14,1,1,0,2.70805020110221
130823,128,0.777777777777778,0.666666666666667,-0.111111111111111,4.85981240436167
130833,55,0.6,0.6,0,4.02535169073515
130834,249,0.774193548387097,0.774193548387097,0,5.52146091786225
130837,31,1,1,0,3.46573590279973
130839,41,0.5,0.5,0,3.73766961828337
130840,38,0.888888888888889,0.888888888888889,0,3.66356164612965
130841,42,0.8,0.8,0,3.76120011569356
130844,18,0.666666666666667,0.666666666666667,0,2.94443897916644
130845,63,0.666666666666667,0.833333333333333,0.166666666666667,4.15888308335967
130846,172,0.642857142857143,0.714285714285714,0.0714285714285714,5.15329159449778
130852,31,0.666666666666667,0.666666666666667,0,3.46573590279973
130854,35,0,0.5,0.5,3.58351893845611
130856,72,0.916666666666667,0.916666666666667,0,4.29045944114839
130858,44,0.6,0.6,0,3.80666248977032
130859,33,1,1,0,3.52636052461616
130866,42,0.333333333333333,0.666666666666667,0.333333333333333,3.76120011569356
130869,29,0.75,0.75,0,3.40119738166216
130872,38,0.5,0.5,0,3.66356164612965
130873,8,1,1,0,2.19722457733622
130878,37,1,1,0,3.63758615972639
130879,67,1,0.857142857142857,-0.142857142857143,4.21950770517611
130880,21,1,1,0,3.09104245335832
130881,47,1,1,0,3.87120101090789
130882,43,1,1,0,3.78418963391826
130883,17,1,1,0,2.89037175789616
130887,42,1,1,0,3.76120011569356
130891,81,0.857142857142857,0.714285714285714,-0.142857142857143,4.40671924726425
130898,62,1,1,0,4.14313472639153
130900,271,0.545454545454545,0.545454545454545,0,5.605802066296
130908,37,1,1,0,3.63758615972639
130909,37,1,1,0,3.63758615972639
130916,18,1,1,0,2.94443897916644
130917,7,1,1,0,2.07944154167984
130926,40,0.75,0.75,0,3.71357206670431
130927,53,0.777777777777778,0.777777777777778,0,3.98898404656427
130928,84,0.777777777777778,0.777777777777778,0,4.44265125649032
130929,49,0.666666666666667,1,0.333333333333333,3.91202300542815
130931,54,0.5,1,0.5,4.00733318523247
130932,77,1,1,0,4.35670882668959
130933,196,0.714285714285714,0.75,0.0357142857142857,5.28320372873799
130934,53,0.818181818181818,0.818181818181818,0,3.98898404656427
130935,28,1,1,0,3.36729582998647
130936,63,0.5,0.5,0,4.15888308335967
130937,143,0.5,0.5,0,4.969813299576
130938,61,0.666666666666667,0.666666666666667,0,4.12713438504509
130939,55,0.777777777777778,0.888888888888889,0.111111111111111,4.02535169073515
130943,1054,0.661764705882353,0.705882352941177,0.0441176470588236,6.96129604591017
130945,33,0,0,0,3.52636052461616
130949,30,1,1,0,3.43398720448515
130951,37,0,0,0,3.63758615972639
130953,290,0.631578947368421,0.736842105263158,0.105263157894737,5.67332326717149
130954,51,0.7,0.7,0,3.95124371858143
130955,216,0.727272727272727,0.818181818181818,0.0909090909090909,5.37989735354046
130960,42,0.666666666666667,0.666666666666667,0,3.76120011569356
130961,44,0,0,0,3.80666248977032
130965,9,1,1,0,2.30258509299405
130967,49,0.666666666666667,0.666666666666667,0,3.91202300542815
130968,31,0,0,0,3.46573590279973
130971,41,0.5,0.5,0,3.73766961828337
130972,113,0.833333333333333,1,0.166666666666667,4.7361984483945
130974,39,0.666666666666667,0.666666666666667,0,3.68887945411394
130975,42,0.333333333333333,0.333333333333333,0,3.76120011569356
130976,47,0.5,0.75,0.25,3.87120101090789
130977,14,0,0,0,2.70805020110221
130981,82,0.785714285714286,0.785714285714286,0,4.4188406077966
130986,42,1,1,0,3.76120011569356
130988,51,0.75,0.75,0,3.95124371858143
130996,74,0.75,0.75,0,4.31748811353631
130997,34,1,1,0,3.55534806148941
130998,28,1,1,0,3.36729582998647
131000,35,0.5,0.5,0,3.58351893845611
131004,67,0.8,0.8,0,4.21950770517611
131005,23,1,1,0,3.17805383034795
131006,38,1,1,0,3.66356164612965
131007,116,0.8,0.8,0,4.76217393479776
131009,72,1,1,0,4.29045944114839
131010,163,0.75,0.75,0,5.0998664278242
131011,36,1,1,0,3.61091791264422
131015,41,1,1,0,3.73766961828337
131018,6,0,0,0,1.94591014905531
131019,29,0.5,0.75,0.25,3.40119738166216
131023,38,1,1,0,3.66356164612965
131024,19,0.5,1,0.5,2.99573227355399
131025,38,0.666666666666667,1,0.333333333333333,3.66356164612965
131027,92,0.666666666666667,0.555555555555556,-0.111111111111111,4.53259949315326
131031,54,0.666666666666667,0.666666666666667,0,4.00733318523247
131034,28,1,1,0,3.36729582998647
131037,49,1,1,0,3.91202300542815
131038,42,0.833333333333333,0.833333333333333,0,3.76120011569356
131040,62,0,0.5,0.5,4.14313472639153
131041,30,1,1,0,3.43398720448515
131045,50,0.4,0.4,0,3.93182563272433
131047,44,1,1,0,3.80666248977032
131052,29,0.5,0.5,0,3.40119738166216
131054,51,0.75,0.75,0,3.95124371858143
131055,55,0.75,0.75,0,4.02535169073515
131056,36,0.5,0.5,0,3.61091791264422
131059,115,0.5,0.5,0,4.75359019110636
